trade_id,type,alert_date,alert_open,alert_high,alert_low,alert_close,alert_rsi,entry_date,entry_price,exit_date,exit_price,stop_loss,target,pnl,status
1,SELL,2025-11-17 11:25,26192.8,26194,26168.5,26174.5,32.1,2025-11-17 11:30,26168.5,2025-11-17 11:40,26194,26194,26158.5,-25.5,STOP_LOSS
2,BUY,2025-11-17 11:50,26201.9,26212.3,26199.7,26212.3,60.89,2025-11-17 11:55,26212.3,2025-11-17 12:00,26222.3,26199.7,26222.3,10.0,TARGET
3,BUY,2025-11-17 13:30,26233,26238.9,26226.8,26238.8,61.94,2025-11-17 13:35,26238.9,2025-11-17 14:00,26248.9,26226.8,26248.9,10.0,TARGET
4,SELL,2025-11-17 15:10,26243.2,26245,26236.1,26237,36.55,2025-11-17 15:15,26236.1,2025-11-17 15:25,26245,26245,26226.1,-8.9,STOP_LOSS
5,BUY,2025-11-18 11:05,26150,26150,26141.1,26148.8,62.37,2025-11-18 11:10,26150,2025-11-18 11:15,26160,26141.1,26160,10,TARGET
6,BUY,2025-11-18 11:35,26157,26164.4,26154.5,26163.3,66.56,2025-11-18 11:40,26164.4,2025-11-18 11:45,26174.4,26154.5,26174.4,10.0,TARGET
7,BUY,2025-11-18 13:30,26184,26191,26181.5,26191,65.54,2025-11-18 13:35,26191,2025-11-18 13:40,26181.5,26181.5,26201,-9.5,STOP_LOSS
8,SELL,2025-11-18 15:00,26167.1,26169,26141,26145,35.21,2025-11-18 15:05,26141,2025-11-18 15:10,26131,26169,26131,10,TARGET
9,BUY,2025-11-19 11:55,26184.5,26191.9,26179,26189.9,63.11,2025-11-19 12:00,26191.9,2025-11-19 12:05,26201.9,26179,26201.9,10.0,TARGET
10,BUY,2025-11-19 14:25,26259.3,26263.5,26256.8,26262.5,67.58,2025-11-19 14:30,26263.5,2025-11-19 14:35,26256.8,26256.8,26273.5,-6.7,STOP_LOSS
11,BUY,2025-11-19 14:35,26250,26263.4,26247,26263,74.82,2025-11-19 14:40,26263.4,2025-11-19 15:05,26247,26247,26273.4,-16.4,STOP_LOSS
12,BUY,2025-11-20 10:40,26330,26350.1,26326,26338.9,61.73,2025-11-20 10:45,26350.1,2025-11-20 12:20,26360.1,26326,26360.1,10.0,TARGET
13,BUY,2025-11-20 12:20,26356.9,26369.3,26349.1,26365.3,66.45,2025-11-20 12:25,26369.3,2025-11-20 12:40,26379.3,26349.1,26379.3,10.0,TARGET
14,BUY,2025-11-21 11:25,26299,26319,26288.6,26316.5,66.28,2025-11-21 11:30,26319,2025-11-21 12:10,26329,26288.6,26329,10,TARGET
15,BUY,2025-11-21 12:10,26319,26336.4,26316.2,26334.5,63.85,2025-11-21 12:15,26336.4,2025-11-21 12:20,26346.4,26316.2,26346.4,10.0,TARGET
16,SELL,2025-11-21 13:40,26328.1,26329.1,26308,26314.4,38.12,2025-11-21 13:45,26308,2025-11-21 13:50,26329.1,26329.1,26298,-21.1,STOP_LOSS
17,SELL,2025-11-21 14:55,26294,26294,26266,26270,35.54,2025-11-21 15:00,26266,2025-11-21 15:20,26256,26294,26256,10,TARGET
18,SELL,2025-11-24 09:30,26323.7,26328.3,26295.7,26300,38.9,2025-11-24 09:35,26295.7,2025-11-24 09:40,26285.7,26328.3,26285.7,10.0,TARGET
19,BUY,2025-11-24 10:00,26295,26322.3,26292.4,26321.4,62.18,2025-11-24 10:05,26322.3,2025-11-24 10:10,26332.3,26292.4,26332.3,10.0,TARGET
20,SELL,2025-11-24 11:45,26323.4,26328,26308,26309.6,31.41,2025-11-24 11:50,26308,2025-11-24 11:55,26298,26328,26298,10,TARGET
21,SELL,2025-11-24 12:20,26288.8,26295,26275,26281,39.53,2025-11-24 12:25,26275,2025-11-24 12:30,26265,26295,26265,10,TARGET
22,SELL,2025-11-24 14:05,26251,26257.9,26240.5,26243,31.03,2025-11-24 14:10,26240.5,2025-11-24 14:15,26230.5,26257.9,26230.5,10.0,TARGET
23,SELL,2025-11-24 14:15,26253,26253,26226,26226,28.26,2025-11-24 14:20,26226,2025-11-24 14:25,26216,26253,26216,10,TARGET
24,BUY,2025-11-25 14:10,26180,26185,26174.2,26177,60.73,2025-11-25 14:15,26185,2025-11-25 14:20,26174.2,26174.2,26195,-10.8,STOP_LOSS
25,SELL,2025-11-25 14:20,26163,26169.9,26146.4,26146.5,38.43,2025-11-25 14:25,26146.4,2025-11-25 14:30,26136.4,26169.9,26136.4,10.0,TARGET
26,BUY,2025-11-26 09:25,26159.7,26176.2,26152.2,26176.2,60.16,2025-11-26 09:30,26176.2,2025-11-26 09:35,26186.2,26152.2,26186.2,10.0,TARGET
27,BUY,2025-11-26 12:00,26329,26335.5,26318.2,26335.4,71.13,2025-11-26 12:05,26335.5,2025-11-26 12:35,26345.5,26318.2,26345.5,10.0,TARGET
