date,date_simple,open,high,low,close,volume,rsi,is_alert
2025-11-26 09:15:00+05:30,2025-11-26 09:15,26105,26167.9,26085,26161.9,492975,,
2025-11-26 09:20:00+05:30,2025-11-26 09:20,26162.1,26169,26155,26159.7,124350,,
2025-11-26 09:25:00+05:30,2025-11-26 09:25,26159.7,26176.2,26152.2,26176.2,111600,,
2025-11-26 09:30:00+05:30,2025-11-26 09:30,26175.5,26205,26170,26204,229050,,
2025-11-26 09:35:00+05:30,2025-11-26 09:35,26204,26209,26188.5,26190,144225,,
2025-11-26 09:40:00+05:30,2025-11-26 09:40,26190,26224.6,26188.5,26224.6,136050,,
2025-11-26 09:45:00+05:30,2025-11-26 09:45,26224.6,26248.8,26223.9,26245.5,312825,,
2025-11-26 09:50:00+05:30,2025-11-26 09:50,26245.5,26290,26245.5,26283,379575,,
2025-11-26 09:55:00+05:30,2025-11-26 09:55,26283,26290,26276.1,26286.5,154950,,
2025-11-26 10:00:00+05:30,2025-11-26 10:00,26286.5,26299,26283,26290,178350,,
2025-11-26 10:05:00+05:30,2025-11-26 10:05,26290,26300,26288,26288,130050,,
2025-11-26 10:10:00+05:30,2025-11-26 10:10,26288,26293,26273.1,26284.1,124500,,
2025-11-26 10:15:00+05:30,2025-11-26 10:15,26284.1,26294.1,26282,26282,135075,,
2025-11-26 10:20:00+05:30,2025-11-26 10:20,26282.1,26285,26271,26280,68775,,
2025-11-26 10:25:00+05:30,2025-11-26 10:25,26280,26281,26262.6,26266,47550,78.21,
2025-11-26 10:30:00+05:30,2025-11-26 10:30,26266,26281,26266,26271,50850,79.71,
2025-11-26 10:35:00+05:30,2025-11-26 10:35,26271,26287,26270.4,26285,31200,79.44,
2025-11-26 10:40:00+05:30,2025-11-26 10:40,26285,26290,26280.5,26287,57750,76.1,
2025-11-26 10:45:00+05:30,2025-11-26 10:45,26287.1,26328.8,26286.1,26315,261525,86.13,
2025-11-26 10:50:00+05:30,2025-11-26 10:50,26315,26321,26295.4,26299.1,52500,74.14,
2025-11-26 10:55:00+05:30,2025-11-26 10:55,26300,26307,26297.4,26302.3,34050,70.79,
2025-11-26 11:00:00+05:30,2025-11-26 11:00,26302.3,26317.7,26302.3,26312.4,45675,63.46,
2025-11-26 11:05:00+05:30,2025-11-26 11:05,26312.4,26319,26308,26312.5,37500,62.29,
2025-11-26 11:10:00+05:30,2025-11-26 11:10,26312.5,26314.9,26305.7,26307,33450,57.88,
2025-11-26 11:15:00+05:30,2025-11-26 11:15,26307,26324.8,26307,26321,46350,63.77,ALERT
2025-11-26 11:20:00+05:30,2025-11-26 11:20,26321,26322.7,26313.4,26315.5,27075,62.93,
2025-11-26 11:25:00+05:30,2025-11-26 11:25,26315.5,26320,26309.6,26314.1,30900,63.3,
2025-11-26 11:30:00+05:30,2025-11-26 11:30,26314.1,26319,26310,26315.4,19500,64.75,
2025-11-26 11:35:00+05:30,2025-11-26 11:35,26315.4,26318,26303,26303,18375,65.62,
2025-11-26 11:40:00+05:30,2025-11-26 11:40,26303,26311.8,26300,26303.3,40875,64.2,
2025-11-26 11:45:00+05:30,2025-11-26 11:45,26303.3,26315,26294.4,26310.7,25725,62.0,
2025-11-26 11:50:00+05:30,2025-11-26 11:50,26313.8,26316,26304,26314,63525,62.45,
2025-11-26 11:55:00+05:30,2025-11-26 11:55,26314,26329,26309.2,26329,75225,57.34,
2025-11-26 12:00:00+05:30,2025-11-26 12:00,26329,26335.5,26318.2,26335.4,161925,71.13,ALERT
2025-11-26 12:05:00+05:30,2025-11-26 12:05,26335.4,26345.3,26332.7,26343,109275,72.54,
2025-11-26 12:10:00+05:30,2025-11-26 12:10,26343,26345,26339,26339.5,34725,66.19,
2025-11-26 12:15:00+05:30,2025-11-26 12:15,26339.5,26344,26332.3,26334.6,67050,62.49,
2025-11-26 12:20:00+05:30,2025-11-26 12:20,26334.7,26345,26330,26330,140250,63.13,
2025-11-26 12:25:00+05:30,2025-11-26 12:25,26330,26345,26326.6,26341,156450,61.82,
2025-11-26 12:30:00+05:30,2025-11-26 12:30,26341,26343.9,26327.6,26342.5,81825,66.75,
2025-11-26 12:35:00+05:30,2025-11-26 12:35,26342.5,26349,26337,26344.4,76275,68.68,
2025-11-26 12:40:00+05:30,2025-11-26 12:40,26344.4,26349.9,26340,26342.6,40875,66.67,
2025-11-26 12:45:00+05:30,2025-11-26 12:45,26342.6,26348,26340,26345.9,28875,79.59,
2025-11-26 12:50:00+05:30,2025-11-26 12:50,26345.9,26350,26334.4,26336.1,61200,70.0,
2025-11-26 12:55:00+05:30,2025-11-26 12:55,26336.1,26349.6,26334.3,26346,37725,70.89,
2025-11-26 13:00:00+05:30,2025-11-26 13:00,26346,26369,26345,26367.1,117525,75.95,
2025-11-26 13:05:00+05:30,2025-11-26 13:05,26367.1,26370,26359,26368.8,90825,72.36,
2025-11-26 13:10:00+05:30,2025-11-26 13:10,26368.8,26378.9,26359,26362.3,127800,65.1,
2025-11-26 13:15:00+05:30,2025-11-26 13:15,26362.7,26372,26356.2,26360,126750,60.14,
2025-11-26 13:20:00+05:30,2025-11-26 13:20,26360,26371.7,26355,26355.5,49725,59.43,
2025-11-26 13:25:00+05:30,2025-11-26 13:25,26355,26360,26341.2,26345,53400,55.75,
